count,share_percent,title,summary
2389,7.2906,"Steady Spotter","Your answers leaned most towards Zoom, with Focus close behind."
2225,6.7902,"Detail Watchdog","Your answers leaned most towards Focus, with Zoom close behind."
2194,6.6956,"Rocket Maker","Your answers leaned most towards Ideas, with Energy close behind."
2034,6.2073,"Steady Wayfinder","Your answers leaned most towards Vision, with Focus close behind."
1901,5.8014,"Wild Trailblazer","Your answers leaned most towards Energy, with Ideas close behind."
1418,4.3274,"Trail Finisher","Your answers leaned most towards Focus, with Vision close behind."
1187,3.6224,"Sharp Dasher","Your answers leaned most towards Energy, with Zoom close behind."
1160,3.5400,"Wonder Route Scout","Your answers leaned most towards Vision, with Ideas close behind."
1152,3.5156,"Flash Finder","Your answers leaned most towards Zoom, with Energy close behind."
1071,3.2684,"Story Trail Maker","Your answers leaned most towards Ideas, with Vision close behind."
1004,3.0640,"Compass Runner","Your answers leaned most towards Energy, with Vision close behind."
919,2.8046,"Swift Trail Guide","Your answers leaned most towards Vision, with Energy close behind."
832,2.5391,"Steady Wonder Maker","Your answers leaned most towards Ideas, with Focus close behind."
785,2.3956,"The Right Paw","Three powers came out level, so no single one leads. That is exactly what makes you the one every hero wants beside them."
730,2.2278,"Steady Wayfinder","Your answers leaned most towards Vision, with Focus next."
660,2.0142,"Careful Tracker","Your answers split between Focus and Zoom, with Vision next."
588,1.7944,"Spark Builder","Your answers leaned most towards Focus, with Ideas close behind."
571,1.7426,"Bright Dash","Your answers split between Ideas and Energy, with Vision next."
483,1.4740,"Route Navigator","Your answers split between Focus and Vision, with Zoom next."
475,1.4496,"Bright Dash","Your answers split between Ideas and Energy, with Zoom next."
471,1.4374,"Trailwise Spotter","Your answers leaned most towards Zoom, with Vision close behind."
433,1.3214,"Cluewise Trail Scout","Your answers leaned most towards Vision, with Zoom close behind."
412,1.2573,"Oddity Finder","Your answers leaned most towards Zoom, with Ideas close behind."
411,1.2543,"Steady Spotter","Your answers leaned most towards Zoom, with Focus next."
375,1.1444,"Curious Clue Maker","Your answers leaned most towards Ideas, with Zoom close behind."
367,1.1200,"Rocket Maker","Your answers leaned most towards Ideas, with Energy next."
341,1.0406,"Careful Tracker","Your answers split between Focus and Zoom, with Ideas next."
332,1.0132,"Wonder Route Scout","Your answers leaned most towards Vision, with Ideas next."
300,0.9155,"Wild Trailblazer","Your answers leaned most towards Energy, with Ideas next."
288,0.8789,"Detail Watchdog","Your answers leaned most towards Focus, with Zoom next."
